week,site,topic_type,target_keyword,suggested_url,brief
1,"K1 Agent Notes","guide","k1 game agent android setup","/guides/k1-game-agent-android-setup/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
2,"K1 Agent Notes","guide","k1 game referral code new user guide","/guides/k1-game-referral-code-new-user-guide/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
3,"K1 Agent Notes","comparison","k1 game invitation code Pakistan mobile users","/guides/k1-game-invitation-code-pakistan-mobile-users/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
4,"K1 Agent Notes","faq","k1 game bonus common mistake","/guides/k1-game-bonus-common-mistake/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
5,"K1 Agent Notes","refresh","k1 game turnover condition safe checklist","/guides/k1-game-turnover-condition-safe-checklist/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
6,"K1 Agent Notes","comparison","k1 game cashback step by step","/guides/k1-game-cashback-step-by-step/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
7,"K1 Agent Notes","guide","k1 game agent vs referral FAQ update","/guides/k1-game-agent-vs-referral-faq-update/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
8,"K1 Agent Notes","faq","k1 game commission weekly review","/guides/k1-game-commission-weekly-review/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
9,"K1 Agent Notes","comparison","k1 game promo comparison notes","/guides/k1-game-promo-comparison-notes/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
10,"K1 Agent Notes","refresh","k1 game bonus red flags support evidence","/guides/k1-game-bonus-red-flags-support-evidence/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
11,"K1 Agent Notes","guide","k1 game agent faq device compatibility","/guides/k1-game-agent-faq-device-compatibility/","Write a unique agent article with original screenshots, local examples, FAQ, and internal links. Do not reuse the same article structure across domains."
