source,target,anchor,reason
/guides/agent-program-guide/,/agent-program/,"Agent Program","route article to closest hub"
/agent-program/,/guides/agent-program-guide/,"K1 Game Agent Program Guide","supporting long-tail guide"
/guides/referral-code-guide/,/referral-codes/,"Referral Codes","route article to closest hub"
/referral-codes/,/guides/referral-code-guide/,"K1 Game Referral Code Guide","supporting long-tail guide"
/guides/invitation-code/,/bonus-terms/,"Bonus Terms","route article to closest hub"
/bonus-terms/,/guides/invitation-code/,"K1 Game Invitation Code Explained","supporting long-tail guide"
/guides/bonus-terms-explained/,/promo-tracker/,"Promo Tracker","route article to closest hub"
/promo-tracker/,/guides/bonus-terms-explained/,"K1 Game Bonus Terms Explained","supporting long-tail guide"
/guides/turnover-condition/,/agent-program/,"Agent Program","route article to closest hub"
/agent-program/,/guides/turnover-condition/,"K1 Game Turnover Condition Notes","supporting long-tail guide"
/guides/cashback-terms/,/referral-codes/,"Referral Codes","route article to closest hub"
/referral-codes/,/guides/cashback-terms/,"K1 Game Cashback Terms","supporting long-tail guide"
/guides/agent-vs-referral/,/bonus-terms/,"Bonus Terms","route article to closest hub"
/bonus-terms/,/guides/agent-vs-referral/,"K1 Game Agent vs Referral","supporting long-tail guide"
/guides/commission-claims/,/promo-tracker/,"Promo Tracker","route article to closest hub"
/promo-tracker/,/guides/commission-claims/,"K1 Game Commission Claims: What to Verify","supporting long-tail guide"
/guides/promo-tracker/,/agent-program/,"Agent Program","route article to closest hub"
/agent-program/,/guides/promo-tracker/,"K1 Game Promo Tracker","supporting long-tail guide"
/guides/bonus-red-flags/,/referral-codes/,"Referral Codes","route article to closest hub"
/referral-codes/,/guides/bonus-red-flags/,"K1 Game Bonus Red Flags","supporting long-tail guide"
/guides/agent-faq/,/bonus-terms/,"Bonus Terms","route article to closest hub"
/bonus-terms/,/guides/agent-faq/,"K1 Game Agent FAQ","supporting long-tail guide"
/guides/weekly-agent-notes/,/promo-tracker/,"Promo Tracker","route article to closest hub"
/promo-tracker/,/guides/weekly-agent-notes/,"Weekly K1 Game Agent Notes","supporting long-tail guide"
